;NAME;JOBREF;CORRSTARTTIME;CORRSTOPTIME;QTYGOOD;CORRSTARTDATE;CORRSTOPDATE
537;CF76S : 1130 x 676 : H/H : 140G : ST1 : 3D/3F/2B/12T : 76SIL;529571;19799;33868;48.0;2018-07-03;2018-07-03
538;CF56S : 1175 x 676 : H/H : 140G : ST1 : 3D/3F/2B/12T : HACF;528123;38558;55800;135.0;2018-07-05;2018-07-05
539;SW56-1 : 1175 x 576 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;529012;37341;46104;80.0;2018-07-06;2018-07-06
540;CF76S : 1175 x 576 : H/H : 140G : ST1 : 3D/3F/2B/12T : 76SIL;528739;33962;50624;108.0;2018-07-30;2018-07-30
541;CF36KFM : 900 x 576 : H/H : 115G : ST1 : 4D/3F/3B/12T : HACF;529515;25200;34723;0.0;2018-07-31;2018-07-31
542;CF56S : 1175 x 676 : H/H : 140G : ST1 : 3D/3F/2B/12T : HACF;529624;52564;55800;0.0;2018-07-31;2018-07-31
543;CF36KFM : 900 x 576 : H/H : 115G : ST1 : 4D/3F/3B/12T : HACF;529515;18066;22033;48.0;2018-08-01;2018-08-01
544;CF36KFM : 900 x 576 : H/H : 115G : ST1 : 4D/3F/3B/12T : HACF;529515;22033;27185;98.0;2018-08-01;2018-08-01
545;CF36KFM : 900 x 576 : H/H : 115G : ST1 : 4D/3F/3B/12T : HACF;529515;27185;32467;98.0;2018-08-01;2018-08-01
546;CF56S : 1130 x 540 : H/H : 140G : ST1 : 3D/3F/2B/12T : HACF;529623;32467;43199;48.0;2018-08-01;2018-08-01
547;CF76S : 1175 x 676 : H/H : 140G : ST1 : 3D/3F/2B/12T : 76SIL;530127;43199;53059;48.0;2018-08-01;2018-08-01
548;CF36KFM : 900 x 576 : H/H : 115G : ST1 : 4D/3F/3B/12T : HACF;529515;26060;27071;0.0;2018-08-02;2018-08-02
549;CF36KFM : 900 x 576 : H/H : 115G : ST1 : 4D/3F/3B/12T : HACF;529515;27180;32285;98.0;2018-08-02;2018-08-02
550;CF56SM : 925 x 676 : H/H : 140G : ST1 : 4D/3F/3B/12T : HACF;529643;32285;34753;24.0;2018-08-02;2018-08-02
551;CF36KFM : 900 x 576 : H/H : 115G : ST1 : 4D/3F/3B/12T : HACF;529515;34753;35330;0.0;2018-08-02;2018-08-02
552;CF36KFM : 900 x 576 : H/H : 115G : ST1 : 4D/3F/3B/12T : HACF;529515;34753;35330;0.0;2018-08-02;2018-08-02
553;CF36KFM : 900 x 576 : H/H : 115G : ST1 : 4D/3F/3B/12T : HACF;529515;34753;35330;0.0;2018-08-02;2018-08-02
554;CF56SM : 925 x 676 : H/H : 140G : ST1 : 4D/3F/3B/12T : HACF;529643;35330;36269;24.0;2018-08-02;2018-08-02
555;CF56SM : 925 x 676 : H/H : 140G : ST1 : 4D/3F/3B/12T : HACF;529643;36269;37405;24.0;2018-08-02;2018-08-02
556;CF56SM : 925 x 676 : H/H : 140G : ST1 : 4D/3F/3B/12T : HACF;529643;37405;38578;24.0;2018-08-02;2018-08-02
557;CF56SM : 925 x 676 : H/H : 140G : ST1 : 4D/3F/3B/12T : HACF;529643;38578;38606;0.0;2018-08-02;2018-08-02
558;CF56SM : 925 x 676 : H/H : 140G : ST1 : 4D/3F/3B/12T : HACF;529643;38578;38606;0.0;2018-08-02;2018-08-02
559;SW56-1 : 1130 x 550 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;529518;38606;54140;176.0;2018-08-02;2018-08-02
560;CF36LM : 900 x 576 : H/H : 115G : ST1 : 4D/3F/3B/12T : HACF;529567;54476;55800;56.0;2018-08-02;2018-08-02
561;CF36LM : 900 x 576 : H/H : 115G : ST1 : 4D/3F/3B/12T : HACF;529567;55800;55800;0.0;2018-08-02;2018-08-02
562;SW56-1 : 1275 x 676 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;529641;30597;38239;0.0;2018-08-03;2018-08-03
563;CF56S : 1175 x 576 : H/H : 140G : ST1 : 3D/3F/2B/12T : HACF;528744;30597;38239;56.0;2018-08-03;2018-08-03
564;CF56S : 1175 x 676 : H/H : 140G : ST1 : 3D/3F/2B/12T : HACF;528745;39910;47338;56.0;2018-08-03;2018-08-03
565;SP16-1 : 1175 x 676 : 115G : ST1 : 3D/3G/3B/12T : HA;529563;47354;49500;30.0;2018-08-03;2018-08-03
566;SP16-1 : 1175 x 676 : 115G : ST1 : 3D/3G/3B/12T : HA;529563;25200;30040;39.0;2018-08-06;2018-08-06
